2025-07-24 00:36:57.656 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2025-07-24 00:36:57.877 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2025-07-24 00:36:57.877 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2025-07-24 00:36:57.962 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2025-07-24 00:36:57.962 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2025-07-24 00:36:57.997 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2025-07-24 00:37:47.645 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2025-07-24 00:37:48.750 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 00:37:57.605 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 00:38:03.975 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 02:37:36.267 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 02:37:37.261 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:30:01.110 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:30:01.143 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2025-07-24 03:30:01.144 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.access.u7-alpha], Result: [granted: False, group: (null)]
2025-07-24 03:30:23.674 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:30:23.686 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:30:23.898 User Agent: [UnityEditor/6000.1.13f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [b8b903e6ac13479a84a988be6b7115d2], Licensed Package: False, Entitlement requested: [com.unity.editor.headless], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:30:23.898 User Agent: [UnityEditor/6000.1.13f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [b8b903e6ac13479a84a988be6b7115d2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:30:23.926 User Agent: [UnityEditor/6000.1.13f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [b8b903e6ac13479a84a988be6b7115d2], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2025-07-24 03:30:23.926 User Agent: [UnityEditor/6000.1.13f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [b8b903e6ac13479a84a988be6b7115d2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:44:34.412 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:44:37.554 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [e90bbb1d04f646d287039efb9c0da960], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:48:27.154 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066369140560-UnityPersonal]
2025-07-24 03:48:27.415 User Agent: [Hub 3.13.0], Protocol version: [1.17], Session Id: [d5c79631fc354c8c957dacd172c18f75], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
